Value,Emotion,Time_Mins_Secs
8,anger,0:06:51
1,anger,0:06:51
5,anger,0:06:51
3,anger,0:06:51
1,anger,0:06:52
3,anger,0:06:52
2,anger,0:06:53
2,anger,0:06:53
4,anger,0:06:53
6,anger,0:06:53
3,anger,0:06:54
3,anger,0:06:54
1,anger,0:06:54
4,anger,0:06:54
3,anger,0:06:55
3,anger,0:06:55
6,anger,0:06:56
1,anger,0:06:56
6,anger,0:06:56
6,anger,0:06:56
3,anger,0:06:57
2,anger,0:06:57
6,anger,0:06:57
7,anger,0:06:57
6,anger,0:06:57
1,anger,0:06:58
1,anger,0:06:58
3,anger,0:06:58
6,anger,0:06:58
4,anger,0:06:58
2,anger,0:06:58
6,anger,0:06:58
1,anger,0:06:58
3,anger,0:06:58
2,anger,0:06:59
5,anger,0:06:59
2,anger,0:06:59
1,anger,0:06:59
5,anger,0:06:59
6,anger,0:06:59
1,anger,0:07:00
4,anger,0:07:00
7,anger,0:07:00
3,anger,0:07:00
4,anger,0:07:00
6,anger,0:07:01
2,anger,0:07:01
8,anger,0:07:01
2,anger,0:07:01
5,anger,0:07:01
6,anger,0:07:01
1,anger,0:07:02
8,anger,0:07:02
7,anger,0:07:02
3,anger,0:07:02
2,anger,0:07:02
4,anger,0:07:03
5,anger,0:07:03
1,anger,0:07:03
8,anger,0:07:03
5,anger,0:07:03
2,anger,0:07:03
1,anger,0:07:03
2,anger,0:07:03
4,anger,0:07:04
6,anger,0:07:04
2,anger,0:07:04
5,anger,0:07:04
3,anger,0:07:04
4,anger,0:07:05
4,anger,0:07:05
6,anger,0:07:05
4,anger,0:07:05
3,anger,0:07:05
6,anger,0:07:05
7,anger,0:07:06
3,anger,0:07:06
1,anger,0:07:06
1,anger,0:07:06
3,anger,0:07:06
1,anger,0:07:07
3,anger,0:07:07
7,anger,0:07:08
4,anger,0:07:08
3,anger,0:07:08
5,anger,0:07:08
6,anger,0:07:08
3,anger,0:07:08
3,anger,0:07:08
1,anger,0:07:08
8,anger,0:07:09
6,anger,0:07:09
5,anger,0:07:09
3,anger,0:07:09
1,anger,0:07:09
6,anger,0:07:09
7,anger,0:07:09
3,anger,0:07:09
3,anger,0:07:09
5,anger,0:07:10
2,anger,0:07:10
1,anger,0:07:10
1,anger,0:07:10
4,anger,0:07:10
4,anger,0:07:10
2,anger,0:07:10
1,anger,0:07:10
8,anger,0:07:10
2,anger,0:07:11
7,anger,0:07:11
7,anger,0:07:11
2,anger,0:07:12
3,anger,0:07:12
6,anger,0:07:12
3,anger,0:07:12
4,anger,0:07:12
3,anger,0:07:12
6,anger,0:07:12
6,anger,0:07:12
1,anger,0:07:13
2,anger,0:07:13
5,anger,0:07:13
2,anger,0:07:13
5,anger,0:07:14
5,anger,0:07:14
2,anger,0:07:14
2,anger,0:07:15
8,anger,0:07:15
9,anger,0:07:15
6,anger,0:07:15
6,anger,0:07:15
4,anger,0:07:16
2,anger,0:07:16
4,anger,0:07:16
3,anger,0:07:16
9,anger,0:07:16
1,anger,0:07:16
4,anger,0:07:16
3,anger,0:07:16
1,anger,0:07:16
1,anger,0:07:17
3,anger,0:07:17
5,anger,0:07:17
6,anger,0:07:17
5,anger,0:07:17
5,anger,0:07:17
1,anger,0:07:18
4,anger,0:07:18
2,anger,0:07:18
3,anger,0:07:18
9,anger,0:07:18
1,anger,0:07:18
9,anger,0:07:18
2,anger,0:07:18
3,anger,0:07:18
5,anger,0:07:19
8,anger,0:07:19
6,anger,0:07:19
3,anger,0:07:19
2,anger,0:07:19
2,anger,0:07:19
1,anger,0:07:20
3,anger,0:07:20
6,anger,0:07:20
6,anger,0:07:21
2,anger,0:07:21
5,anger,0:07:21
3,anger,0:07:21
2,anger,0:07:22
3,anger,0:07:22
6,anger,0:07:22
2,anger,0:07:22
4,anger,0:07:22
1,anger,0:07:22
2,anger,0:07:23
1,anger,0:07:23
1,anger,0:07:23
2,anger,0:07:23
1,anger,0:07:23
4,anger,0:07:23
2,anger,0:07:23
6,anger,0:07:23
4,anger,0:07:24
2,anger,0:07:24
3,anger,0:07:24
5,anger,0:07:24
3,anger,0:07:24
7,anger,0:07:25
3,anger,0:07:25
6,anger,0:07:25
6,anger,0:07:25
3,anger,0:07:26
2,anger,0:07:26
5,anger,0:07:26
1,anger,0:07:26
6,anger,0:07:27
5,anger,0:07:27
9,anger,0:07:27
5,anger,0:07:27
4,anger,0:07:27
3,anger,0:07:28
2,anger,0:07:28
3,anger,0:07:28
6,anger,0:07:28
3,anger,0:07:29
3,anger,0:07:29
1,anger,0:07:29
3,anger,0:07:29
3,anger,0:07:29
1,anger,0:07:29
2,anger,0:07:29
5,anger,0:07:30
5,anger,0:07:30
6,anger,0:07:30
1,anger,0:07:30
1,anger,0:07:30
1,anger,0:07:31
2,anger,0:07:31
6,anger,0:07:31
2,anger,0:07:31
6,anger,0:07:31
5,anger,0:07:31
3,anger,0:07:32
2,anger,0:07:32
4,anger,0:07:32
4,anger,0:07:32
6,anger,0:07:32
1,anger,0:07:32
4,anger,0:07:32
2,anger,0:07:32
9,anger,0:07:32
5,anger,0:07:33
1,anger,0:07:33
1,anger,0:07:33
6,anger,0:07:33
2,anger,0:07:33
1,anger,0:07:33
6,anger,0:07:34
4,anger,0:07:34
6,anger,0:07:34
4,anger,0:07:34
1,anger,0:07:34
3,anger,0:07:35
2,anger,0:07:35
4,anger,0:07:35
4,anger,0:07:35
3,anger,0:07:35
6,anger,0:07:35
6,anger,0:07:35
3,anger,0:07:35
7,anger,0:07:35
6,anger,0:07:36
4,anger,0:07:36
2,anger,0:07:36
9,anger,0:07:36
8,anger,0:07:37
4,anger,0:07:37
1,anger,0:07:37
4,anger,0:07:37
6,anger,0:07:37
2,anger,0:07:37
7,anger,0:07:37
4,anger,0:07:37
3,anger,0:07:38
6,anger,0:07:38
7,anger,0:07:38
6,anger,0:07:38
2,anger,0:07:38
2,anger,0:07:39
3,anger,0:07:39
3,anger,0:07:39
6,anger,0:07:39
2,anger,0:07:39
8,anger,0:07:39
9,anger,0:07:40
3,anger,0:07:40
9,anger,0:07:41
3,anger,0:07:41
1,anger,0:07:41
4,anger,0:07:41
9,anger,0:07:41
2,anger,0:07:41
2,anger,0:07:41
4,anger,0:07:42
2,anger,0:07:42
6,anger,0:07:43
2,anger,0:07:43
3,anger,0:07:43
8,anger,0:07:43
8,anger,0:07:44
2,anger,0:07:44
1,anger,0:07:44
2,anger,0:07:45
6,anger,0:07:45
1,anger,0:07:45
1,anger,0:07:45
2,anger,0:07:45
3,anger,0:07:45
1,anger,0:07:45
4,anger,0:07:45
2,anger,0:07:45
9,anger,0:07:46
6,anger,0:07:46
2,anger,0:07:46
7,anger,0:07:46
7,anger,0:07:46
5,anger,0:07:47
3,anger,0:07:47
8,anger,0:07:47
2,anger,0:07:47
3,anger,0:07:47
3,anger,0:07:47
3,anger,0:07:48
6,anger,0:07:48
2,anger,0:07:49
1,anger,0:07:49
3,anger,0:07:49
1,anger,0:07:49
5,anger,0:07:49
4,anger,0:07:50
1,anger,0:07:50
6,anger,0:07:50
3,anger,0:07:50
1,anger,0:07:50
9,anger,0:07:50
7,anger,0:07:50
7,anger,0:07:50
7,anger,0:07:51
4,anger,0:07:51
7,anger,0:07:51
6,anger,0:07:51
5,anger,0:07:51
3,anger,0:07:51
3,anger,0:07:51
7,anger,0:07:51
7,anger,0:07:52
7,anger,0:07:52
3,anger,0:07:52
1,anger,0:07:52
4,anger,0:07:52
6,anger,0:07:52
6,anger,0:07:52
2,anger,0:07:52
6,anger,0:07:52
3,anger,0:07:53
3,anger,0:07:53
3,anger,0:07:53
3,anger,0:07:53
1,anger,0:07:53
2,anger,0:07:54
8,anger,0:07:54
5,anger,0:07:54
1,anger,0:07:54
2,anger,0:07:54
1,anger,0:07:54
6,anger,0:07:54
5,anger,0:07:54
1,anger,0:07:55
2,anger,0:07:55
2,anger,0:07:55
4,anger,0:07:55
4,anger,0:07:55
7,anger,0:07:56
7,anger,0:07:56
3,anger,0:07:56
2,anger,0:07:56
1,anger,0:07:56
1,anger,0:07:56
9,anger,0:07:56
5,anger,0:07:56
5,anger,0:07:56
4,anger,0:07:56
2,anger,0:07:56
4,anger,0:07:57
7,anger,0:07:57
3,anger,0:07:57
4,anger,0:07:57
1,anger,0:07:58
5,anger,0:07:58
2,anger,0:07:58
1,anger,0:07:58
6,anger,0:07:58
5,anger,0:07:58
8,anger,0:07:58
2,anger,0:07:58
6,anger,0:07:59
1,anger,0:07:59
4,anger,0:07:59
3,anger,0:08:00
4,anger,0:08:00
9,anger,0:08:00
4,anger,0:08:00
4,anger,0:08:00
4,anger,0:08:00
3,anger,0:08:00
7,anger,0:08:00
7,anger,0:08:00
2,anger,0:08:01
6,anger,0:08:01
5,anger,0:08:01
2,anger,0:08:02
7,anger,0:08:02
1,anger,0:08:02
1,anger,0:08:03
6,anger,0:08:03
4,anger,0:08:03
2,anger,0:08:03
6,anger,0:08:03
1,anger,0:08:04
1,anger,0:08:04
2,anger,0:08:04
7,anger,0:08:04
2,anger,0:08:04
8,anger,0:08:04
5,anger,0:08:05
4,anger,0:08:05
3,anger,0:08:05
2,anger,0:08:05
5,anger,0:08:05
4,anger,0:08:05
4,anger,0:08:06
2,anger,0:08:06
7,anger,0:08:07
6,anger,0:08:07
4,anger,0:08:07
6,anger,0:08:07
3,anger,0:08:08
1,anger,0:08:08
4,anger,0:08:09
6,anger,0:08:09
3,anger,0:08:09
4,anger,0:08:09
6,anger,0:08:09
6,anger,0:08:10
1,anger,0:08:10
4,anger,0:08:10
3,anger,0:08:10
1,anger,0:08:10
5,anger,0:08:11
5,anger,0:08:11
2,anger,0:08:11
1,anger,0:08:12
4,anger,0:08:12
6,anger,0:08:13
7,anger,0:08:13
1,anger,0:08:13
8,anger,0:08:13
1,anger,0:08:13
6,anger,0:08:13
2,anger,0:08:13
7,anger,0:08:14
8,anger,0:08:14
3,anger,0:08:14
